match_type,group_id,article_count,domain_count,domains,key_hash,sample_title,sample_preview,urls
exact_body,exact_body-00001,21,21,allsidesreport.com;allstatesnews.com;boldlyconservative.com;breakingdesk.com;civilvoicepress.com;desmoineswire.com;eaglechronicle.us;guardiansoftradition.com;hilldaily.com;hypernewsnow.com;indyupdate.com;maineupdate.com;metrocurrent.com;nevadainsight.com;noonreport.us;northernnotices.com;roguenewsusa.com;streamstates.com;summitupdate.us;truenorthconservative.com;unitedrightamerica.com,72d884d8ca74ab782386b8e727562e1abf179c162790d1a6125470a51cf634fb,Péter Magyar drops out of Hungary race in last-minute move,"Péter Magyar, the leader of the Tisza Party and the main challenger to Prime Minister Viktor Orbán, has announced he is withdrawing from Hungary’s upcoming election. In a brief st...",https://allsidesreport.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://allstatesnews.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://boldlyconservative.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://breakingdesk.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://civilvoicepress.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://desmoineswire.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://eaglechronicle.us/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://guardiansoftradition.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://hilldaily.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://hypernewsnow.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://indyupdate.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://maineupdate.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://metrocurrent.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://nevadainsight.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://noonreport.us/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://northernnotices.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://roguenewsusa.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://streamstates.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://summitupdate.us/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://truenorthconservative.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://unitedrightamerica.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/
exact_body,exact_body-00002,21,21,allsidesreport.com;allstatesnews.com;boldlyconservative.com;breakingdesk.com;civilvoicepress.com;desmoineswire.com;eaglechronicle.us;guardiansoftradition.com;hilldaily.com;hypernewsnow.com;indyupdate.com;maineupdate.com;metrocurrent.com;nevadainsight.com;noonreport.us;northernnotices.com;roguenewsusa.com;streamstates.com;summitupdate.us;truenorthconservative.com;unitedrightamerica.com,17c832d145d93c2f73ac1f006055b001cfa33584275975745fbff208e2e6d8a0,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,"U.S. Vice President JD Vance arrived in Hungary on Tuesday, April 7, for an official visit and publicly backed Prime Minister Viktor Orbán just days before the country’s closely w...",https://allsidesreport.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://allstatesnews.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://boldlyconservative.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://breakingdesk.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://civilvoicepress.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://desmoineswire.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://eaglechronicle.us/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://guardiansoftradition.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://hilldaily.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://hypernewsnow.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://indyupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://maineupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://metrocurrent.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://nevadainsight.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://noonreport.us/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://northernnotices.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://roguenewsusa.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://streamstates.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://summitupdate.us/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://truenorthconservative.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://unitedrightamerica.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/
exact_body,exact_body-00003,10,10,allstatesnews.com;civilvoicepress.com;dailysurge.us;horizonpress.us;livechronicle.us;peoplereport.us;republicreport.us;roguenewsusa.com;starsandstripesnews.us;truechronicle.us,14e2f1c9f7ceb684b479dea49c11a5124ff557552b845f8e277f9f18da558726,It’s Time to FIRE Lindsey Graham,"For too long, Senator Lindsey Graham has advanced policies and cast votes that conflict with the values of South Carolina Republicans. He continues to present himself as a conserv...",https://allstatesnews.com/its-time-to-fire-lindsey-graham/;https://civilvoicepress.com/its-time-to-fire-lindsey-graham/;https://www.dailysurge.us/its-time-to-fire-lindsey-graham/;https://www.horizonpress.us/its-time-to-fire-lindsey-graham/;https://www.livechronicle.us/its-time-to-fire-lindsey-graham/;https://www.peoplereport.us/its-time-to-fire-lindsey-graham/;https://www.republicreport.us/its-time-to-fire-lindsey-graham/;https://roguenewsusa.com/its-time-to-fire-lindsey-graham/;https://www.starsandstripesnews.us/its-time-to-fire-lindsey-graham/;https://www.truechronicle.us/its-time-to-fire-lindsey-graham/
exact_body,exact_body-00004,7,7,allstatesnews.com;civicjournal.us;civilvoicepress.com;horizonpress.us;peoplereport.us;roguenewsusa.com;starsandstripesnews.us,de54abaddf3a1d2fa67162798231be7e545fcd78f6665547891001e4eae5d8d8,Lindsey Graham threatens two NATO states over Russian oil,"Hungary and Slovakia will face “consequences” if they fail to halt purchases, the Republican senator has warned US Senator Lindsey Graham has threatened Hungary and Slovakia with...",https://allstatesnews.com/lindsey-graham-threatens-two-nato-states-over-russian-oil/;https://www.civicjournal.us/lindsey-graham-threatens-two-nato-states-over-russian-oil/;https://civilvoicepress.com/lindsey-graham-threatens-two-nato-states-over-russian-oil/;https://www.horizonpress.us/lindsey-graham-threatens-two-nato-states-over-russian-oil/;https://www.peoplereport.us/lindsey-graham-threatens-two-nato-states-over-russian-oil/;https://roguenewsusa.com/lindsey-graham-threatens-two-nato-states-over-russian-oil/;https://www.starsandstripesnews.us/lindsey-graham-threatens-two-nato-states-over-russian-oil/
exact_body,exact_body-00005,6,6,allstatesnews.com;civilvoicepress.com;dailysurge.us;horizonpress.us;republicreport.us;starsandstripesnews.us,1809c4973acd0f7044c3f2cb843216f7e1ab5e9eb82148b247d484e92b4ab2bc,Russia Says No Substantive Negotiations on US Plan for Ukraine,"The provisions of the US plan for settling the conflict in Ukraine need to be thoroughly discussed by all sides, Russian presidential aide Yuri Ushakov said. “We reviewed one vers...",https://allstatesnews.com/russia-says-no-substantive-negotiations-on-us-plan-for-ukraine/;https://civilvoicepress.com/ukraine-conflict-plan-needs-detailed-discussion-says-russian-aide/;https://www.dailysurge.us/ukraine-conflict-russia-says-discussions-are-needed-but-no-concrete-negotiations/;https://www.horizonpress.us/russia-expresses-doubt-over-us-plan-for-ukraine-conflict/;https://www.republicreport.us/russia-says-us-plan-for-ukraine-needs-full-discussion-but-no-talks-yet/;https://www.starsandstripesnews.us/ukraine-conflict-russia-says-us-plan-needs-thorough-discussion/
exact_body,exact_body-00006,5,5,guardiansoftradition.com;infostreamnow.us;nevadainsight.com;truenorthconservative.com;unitedrightamerica.com,a2ecae650215979f32a311a7585461b405e440126400bf641ed2eff45240ac7e,Lindsey Graham Hit With Embarrassing Epstein Fact-Check on Live TV,"Republicans are losing their grip on Donald Trump’s latest Epstein cover-up. Speaking with NBC’s Meet the Press on Sunday, Senator Lindsey Graham tripped up a supposedly “new” dev...",https://guardiansoftradition.com/lindsey-graham-hit-with-embarrassing-epstein-fact-check-on-live-tv/;https://www.infostreamnow.us/lindsey-graham-hit-with-embarrassing-epstein-fact-check-on-live-tv/;https://nevadainsight.com/lindsey-graham-hit-with-embarrassing-epstein-fact-check-on-live-tv/;https://truenorthconservative.com/lindsey-graham-hit-with-embarrassing-epstein-fact-check-on-live-tv/;https://unitedrightamerica.com/lindsey-graham-hit-with-embarrassing-epstein-fact-check-on-live-tv/
exact_body,exact_body-00007,5,5,centralbulletin.us;libertygazette.us;morningrecord.us;starherald.us;swiftupdate.us,94a3b12b9117e84666593627431f53248ac0027f3018ec105403072eb249f831,Russian Forces Successfully Strike Ukrainian Missile Systems in Dnepropetrovsk Region,"Russian forces have carried out a successful strike on three Ukrainian missile launchers, including a US-supplied high-mobility artillery rocket system (HIMARS), the Defense Minis...",https://www.centralbulletin.us/russian-forces-successfully-strike-ukrainian-missile-systems-in-dnepropetrovsk-region/;https://www.libertygazette.us/russian-strike-targets-ukrainian-missile-launchers-in-dnepropetrovsk-region/;https://www.morningrecord.us/russian-strike-targets-ukrainian-missile-launchers-in-dnepropetrovsk-region/;https://www.starherald.us/russian-forces-strike-three-ukrainian-missile-launchers-in-dnepropetrovsk-region/;https://www.swiftupdate.us/russian-forces-successfully-strike-ukrainian-missile-systems-in-dnepropetrovsk-region/
exact_body,exact_body-00008,5,5,civilvoicepress.com;dailysurge.us;livechronicle.us;roguenewsusa.com;truechronicle.us,c6368fe5bd42a2ed0380fe15f5c969c771f83ef922f185a9c0ab4b602c95bac7,EU Allocates €4 Billion from Frozen Russian Assets to Ukraine Amid Tensions,"The European Commission has disbursed the ninth tranche of its exceptional Macro-Financial Assistance (MFA) loan to Ukraine, worth €4 billion, further reinforcing the EU’s role as...",https://civilvoicepress.com/eu-allocates-e4-billion-from-frozen-russian-assets-to-ukraine-amid-tensions/;https://www.dailysurge.us/the-eu-transfers-billions-in-frozen-russian-funds-to-ukraine-amid-escalating-tensions/;https://www.livechronicle.us/eu-transfers-billions-in-frozen-russian-assets-to-ukraine-amid-escalating-tensions/;https://roguenewsusa.com/eu-allocates-e4-billion-from-frozen-russian-assets-to-ukraine-amid-escalating-tensions/;https://www.truechronicle.us/eu-transfers-e4-billion-from-frozen-russian-assets-to-ukraine-amid-tensions-with-moscow/
exact_body,exact_body-00009,5,5,actionreport.us;centralbulletin.us;morningrecord.us;starherald.us;streamstates.com,f39ea82efb67bbac341d56e9ed4851db1ff91beaf90badcf444197e37a38e2db,Scholz’s Government Collapse Over Disagreements on Ukraine Funding,"The German government of ex-Chancellor Olaf Scholz collapsed over disagreements on funding for Ukraine, he has revealed. Scholz led a three-party coalition of Social Democrats, Gr...",https://www.actionreport.us/scholzs-government-collapse-over-disagreements-on-ukraine-funding/;https://www.centralbulletin.us/scholzs-government-collapses-over-disagreements-on-ukraine-funding/;https://www.morningrecord.us/scholzs-government-collapse-over-disagreements-on-ukraine-funding/;https://www.starherald.us/scholzs-government-collapse-over-disputes-on-ukraine-funding/;https://streamstates.com/scholzs-government-collapse-over-disputes-on-aid-to-ukraine/
exact_body,exact_body-00010,5,5,hilldaily.com;hypernewsnow.com;libertygazette.us;morningrecord.us;streamstates.com,fdfbced8052fa53f96a9c97160bed76c05a8001b534a90da4e38894b45e2d354,Russia Designates Prominent Figures as ‘Terrorists’,"The Russian authorities have added former Prime Minister Mikhail Kasyanov and economist Sergey Guriev to their official list of ‘terrorists and extremists’. Both individuals, who...",https://hilldaily.com/russia-designates-prominent-figures-as-terrorists/;https://hypernewsnow.com/russia-adds-former-pm-kasyanov-economist-guriev-to-terrorists-list-amid-ukraine-conflict/;https://www.libertygazette.us/moscow-labels-former-pm-kasyanov-and-economist-guriev-as-terrorists-and-extremists/;https://www.morningrecord.us/russia-labels-prominent-critics-as-terrorists-and-extremists/;https://streamstates.com/russia-adds-former-pm-mikhail-kasyanov-and-economist-sergey-guriev-to-terrorist-list-amid-ukraine-conflict/
