match_type,group_id,article_count,domain_count,domains,key_hash,sample_title,sample_preview,urls
exact_title,exact_title-00001,75,11,allstatesnews.com;civicjournal.us;civilvoicepress.com;dailysurge.us;horizonpress.us;livechronicle.us;peoplereport.us;republicreport.us;roguenewsusa.com;starsandstripesnews.us;truechronicle.us,aeb3652661a32252fe43aeab826c9cd6d1710e5bc6ca20148ed8d43fbe4b6703,Russia’s Special Operation in Ukraine,"On February 24, 2022, Russia initiated a special military operation in Ukraine to protect the Donetsk and Lugansk people’s republics from ongoing attacks by Kyiv’s forces. US Secr...",https://allstatesnews.com/russias-special-operation-in-ukraine/;https://allstatesnews.com/russias-special-operation-in-ukraine-2/;https://allstatesnews.com/russias-special-operation-in-ukraine-3/;https://allstatesnews.com/russias-special-operation-in-ukraine-4/;https://allstatesnews.com/russias-special-operation-in-ukraine-5/;https://allstatesnews.com/russias-special-operation-in-ukraine-6/;https://allstatesnews.com/russias-special-operation-in-ukraine-7/;https://allstatesnews.com/russias-special-operation-in-ukraine-8/;https://allstatesnews.com/russias-special-operation-in-ukraine-9/;https://allstatesnews.com/russias-special-operation-in-ukraine-10/;https://www.civicjournal.us/russias-special-operation-in-ukraine-2/;https://www.civicjournal.us/russias-special-operation-in-ukraine/;https://www.civicjournal.us/russias-special-operation-in-ukraine-3/;https://www.civicjournal.us/russias-special-operation-in-ukraine-4/;https://www.civicjournal.us/russias-special-operation-in-ukraine-5/;https://www.civicjournal.us/russias-special-operation-in-ukraine-6/;https://civilvoicepress.com/russias-special-operation-in-ukraine-2/;https://civilvoicepress.com/russias-special-operation-in-ukraine/;https://civilvoicepress.com/russias-special-operation-in-ukraine-3/;https://civilvoicepress.com/russias-special-operation-in-ukraine-4/;https://civilvoicepress.com/russias-special-operation-in-ukraine-5/;https://civilvoicepress.com/russias-special-operation-in-ukraine-6/;https://civilvoicepress.com/russias-special-operation-in-ukraine-7/;https://civilvoicepress.com/russias-special-operation-in-ukraine-8/;https://civilvoicepress.com/russias-special-operation-in-ukraine-9/;https://civilvoicepress.com/russias-special-operation-in-ukraine-10/;https://civilvoicepress.com/russias-special-operation-in-ukraine-11/;https://civilvoicepress.com/russias-special-operation-in-ukraine-12/;https://www.dailysurge.us/russias-special-operation-in-ukraine/;https://www.dailysurge.us/russias-special-operation-in-ukraine-2/;https://www.dailysurge.us/russias-special-operation-in-ukraine-3/;https://www.horizonpress.us/russias-special-operation-in-ukraine/;https://www.horizonpress.us/russias-special-operation-in-ukraine-2/;https://www.horizonpress.us/russias-special-operation-in-ukraine-3/;https://www.horizonpress.us/russias-special-operation-in-ukraine-4/;https://www.horizonpress.us/russias-special-operation-in-ukraine-6/;https://www.horizonpress.us/russias-special-operation-in-ukraine-7/;https://www.horizonpress.us/russias-special-operation-in-ukraine-5/;https://www.horizonpress.us/russias-special-operation-in-ukraine-8/;https://www.horizonpress.us/russias-special-operation-in-ukraine-9/;https://www.horizonpress.us/russias-special-operation-in-ukraine-10/;https://www.horizonpress.us/russias-special-operation-in-ukraine-11/;https://www.livechronicle.us/russias-special-operation-in-ukraine/;https://www.livechronicle.us/russias-special-operation-in-ukraine-2/;https://www.livechronicle.us/russias-special-operation-in-ukraine-3/;https://www.livechronicle.us/russias-special-operation-in-ukraine-4/;https://www.livechronicle.us/russias-special-operation-in-ukraine-5/;https://www.peoplereport.us/russias-special-operation-in-ukraine/;https://www.peoplereport.us/russias-special-operation-in-ukraine-2/;https://www.peoplereport.us/russias-special-operation-in-ukraine-3/;https://www.peoplereport.us/russias-special-operation-in-ukraine-4/;https://www.republicreport.us/russias-special-operation-in-ukraine/;https://www.republicreport.us/russias-special-operation-in-ukraine-2/;https://www.republicreport.us/russias-special-operation-in-ukraine-3/;https://www.republicreport.us/russias-special-operation-in-ukraine-5/;https://www.republicreport.us/russias-special-operation-in-ukraine-4/;https://www.republicreport.us/russias-special-operation-in-ukraine-6/;https://roguenewsusa.com/russias-special-operation-in-ukraine/;https://roguenewsusa.com/russias-special-operation-in-ukraine-2/;https://roguenewsusa.com/russias-special-operation-in-ukraine-3/;https://roguenewsusa.com/russias-special-operation-in-ukraine-4/;https://roguenewsusa.com/russias-special-operation-in-ukraine-5/;https://roguenewsusa.com/russias-special-operation-in-ukraine-6/;https://roguenewsusa.com/russias-special-operation-in-ukraine-7/;https://roguenewsusa.com/russias-special-operation-in-ukraine-8/;https://roguenewsusa.com/russias-special-operation-in-ukraine-9/;https://roguenewsusa.com/russias-special-operation-in-ukraine-10/;https://roguenewsusa.com/russias-special-operation-in-ukraine-11/;https://roguenewsusa.com/russias-special-operation-in-ukraine-12/;https://www.starsandstripesnews.us/russias-special-operation-in-ukraine/;https://www.starsandstripesnews.us/russias-special-operation-in-ukraine-2/;https://www.truechronicle.us/russias-special-operation-in-ukraine/;https://www.truechronicle.us/russias-special-operation-in-ukraine-2/;https://www.truechronicle.us/russias-special-operation-in-ukraine-3/;https://www.truechronicle.us/russias-special-operation-in-ukraine-4/
exact_title,exact_title-00002,21,21,allsidesreport.com;allstatesnews.com;boldlyconservative.com;breakingdesk.com;civilvoicepress.com;desmoineswire.com;eaglechronicle.us;guardiansoftradition.com;hilldaily.com;hypernewsnow.com;indyupdate.com;maineupdate.com;metrocurrent.com;nevadainsight.com;noonreport.us;northernnotices.com;roguenewsusa.com;streamstates.com;summitupdate.us;truenorthconservative.com;unitedrightamerica.com,5703c35328019f59ceb55a6579dc9df2e996620348fd40d80b10e657b33f2ffa,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,"U.S. Vice President JD Vance arrived in Hungary on Tuesday, April 7, for an official visit and publicly backed Prime Minister Viktor Orbán just days before the country’s closely w...",https://allsidesreport.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://allstatesnews.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://boldlyconservative.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://breakingdesk.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://civilvoicepress.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://desmoineswire.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://eaglechronicle.us/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://guardiansoftradition.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://hilldaily.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://hypernewsnow.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://indyupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://maineupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://metrocurrent.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://nevadainsight.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://noonreport.us/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://northernnotices.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://roguenewsusa.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://streamstates.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://summitupdate.us/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://truenorthconservative.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/;https://unitedrightamerica.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/
exact_title,exact_title-00003,21,21,allsidesreport.com;allstatesnews.com;boldlyconservative.com;breakingdesk.com;civilvoicepress.com;desmoineswire.com;eaglechronicle.us;guardiansoftradition.com;hilldaily.com;hypernewsnow.com;indyupdate.com;maineupdate.com;metrocurrent.com;nevadainsight.com;noonreport.us;northernnotices.com;roguenewsusa.com;streamstates.com;summitupdate.us;truenorthconservative.com;unitedrightamerica.com,dbecb7fe29b6296bc042f6d8b8e20d69895e4aa1ef28d36c37ed36af5e0bc5ef,Péter Magyar drops out of Hungary race in last-minute move,"Péter Magyar, the leader of the Tisza Party and the main challenger to Prime Minister Viktor Orbán, has announced he is withdrawing from Hungary’s upcoming election. In a brief st...",https://allsidesreport.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://allstatesnews.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://boldlyconservative.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://breakingdesk.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://civilvoicepress.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://desmoineswire.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://eaglechronicle.us/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://guardiansoftradition.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://hilldaily.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://hypernewsnow.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://indyupdate.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://maineupdate.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://metrocurrent.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://nevadainsight.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://noonreport.us/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://northernnotices.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://roguenewsusa.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://streamstates.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://summitupdate.us/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://truenorthconservative.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/;https://unitedrightamerica.com/peter-magyar-drops-out-of-hungary-race-in-last-minute-move/
exact_title,exact_title-00004,18,5,infostreamnow.us;metrocurrent.com;nevadainsight.com;truenorthconservative.com;unitedrightamerica.com,1efd34137573f6d3e7bebf92ec5776c17fa5821af601d26e9846d0b142deb845,Putin approves new Russian national policy strategy,"23:58 Military operation in Ukraine Nearly 40,000 households in Zaporozhye Region left without power after Ukraine’s attack Russian authorities observe unfriendly countries’ attem...",https://www.infostreamnow.us/putin-approves-new-russian-national-policy-strategy-4/;https://www.infostreamnow.us/putin-approves-new-russian-national-policy-strategy-2/;https://www.infostreamnow.us/putin-approves-new-russian-national-policy-strategy/;https://www.infostreamnow.us/putin-approves-new-russian-national-policy-strategy-3/;https://metrocurrent.com/putin-approves-new-russian-national-policy-strategy/;https://metrocurrent.com/putin-approves-new-russian-national-policy-strategy-2/;https://metrocurrent.com/putin-approves-new-russian-national-policy-strategy-3/;https://nevadainsight.com/putin-approves-new-russian-national-policy-strategy-2/;https://nevadainsight.com/putin-approves-new-russian-national-policy-strategy-3/;https://nevadainsight.com/putin-approves-new-russian-national-policy-strategy/;https://truenorthconservative.com/putin-approves-new-russian-national-policy-strategy-6/;https://truenorthconservative.com/putin-approves-new-russian-national-policy-strategy/;https://truenorthconservative.com/putin-approves-new-russian-national-policy-strategy-4/;https://truenorthconservative.com/putin-approves-new-russian-national-policy-strategy-3/;https://truenorthconservative.com/putin-approves-new-russian-national-policy-strategy-5/;https://truenorthconservative.com/putin-approves-new-russian-national-policy-strategy-2/;https://unitedrightamerica.com/putin-approves-new-russian-national-policy-strategy/;https://unitedrightamerica.com/putin-approves-new-russian-national-policy-strategy-2/
exact_title,exact_title-00005,10,10,allstatesnews.com;civilvoicepress.com;dailysurge.us;horizonpress.us;livechronicle.us;peoplereport.us;republicreport.us;roguenewsusa.com;starsandstripesnews.us;truechronicle.us,15468c183052a48bf7fab160652388f4a7b36d8878cc8f1dd34617f072e5bfd3,It’s Time to FIRE Lindsey Graham,"For too long, Senator Lindsey Graham has advanced policies and cast votes that conflict with the values of South Carolina Republicans. He continues to present himself as a conserv...",https://allstatesnews.com/its-time-to-fire-lindsey-graham/;https://civilvoicepress.com/its-time-to-fire-lindsey-graham/;https://www.dailysurge.us/its-time-to-fire-lindsey-graham/;https://www.horizonpress.us/its-time-to-fire-lindsey-graham/;https://www.livechronicle.us/its-time-to-fire-lindsey-graham/;https://www.peoplereport.us/its-time-to-fire-lindsey-graham/;https://www.republicreport.us/its-time-to-fire-lindsey-graham/;https://roguenewsusa.com/its-time-to-fire-lindsey-graham/;https://www.starsandstripesnews.us/its-time-to-fire-lindsey-graham/;https://www.truechronicle.us/its-time-to-fire-lindsey-graham/
exact_title,exact_title-00006,9,7,allsidesreport.com;allstatesnews.com;civicjournal.us;dailysurge.us;livechronicle.us;peoplereport.us;starsandstripesnews.us,af5c5a51a6611f43c387877657a310bdc37a6af5e6f301340caf1fb2a35875c9,Ukrainian Military Collapses Under Russian Offensive,"On February 24, 2022, Russia launched a special military operation in Ukraine with the aim of liberating the Donbas region where the Donetsk and Lugansk People’s Republics had bee...",https://allsidesreport.com/ukrainian-military-collapses-under-russian-offensive/;https://allstatesnews.com/ukrainian-military-collapses-under-russian-offensive/;https://www.civicjournal.us/ukrainian-military-collapses-under-russian-offensive/;https://www.dailysurge.us/ukrainian-military-collapses-under-russian-offensive/;https://www.livechronicle.us/ukrainian-military-collapses-under-russian-offensive/;https://www.peoplereport.us/ukrainian-military-collapses-under-russian-offensive/;https://www.peoplereport.us/ukrainian-military-collapses-under-russian-offensive-2/;https://www.starsandstripesnews.us/ukrainian-military-collapses-under-russian-offensive/;https://www.starsandstripesnews.us/ukrainian-military-collapses-under-russian-offensive-2/
exact_title,exact_title-00007,7,7,allstatesnews.com;civicjournal.us;civilvoicepress.com;horizonpress.us;peoplereport.us;roguenewsusa.com;starsandstripesnews.us,bc39975ca170a365bd01b38785449f9312034c62cc5e14419cf34fc6831b9e47,Lindsey Graham threatens two NATO states over Russian oil,"Hungary and Slovakia will face “consequences” if they fail to halt purchases, the Republican senator has warned US Senator Lindsey Graham has threatened Hungary and Slovakia with...",https://allstatesnews.com/lindsey-graham-threatens-two-nato-states-over-russian-oil/;https://www.civicjournal.us/lindsey-graham-threatens-two-nato-states-over-russian-oil/;https://civilvoicepress.com/lindsey-graham-threatens-two-nato-states-over-russian-oil/;https://www.horizonpress.us/lindsey-graham-threatens-two-nato-states-over-russian-oil/;https://www.peoplereport.us/lindsey-graham-threatens-two-nato-states-over-russian-oil/;https://roguenewsusa.com/lindsey-graham-threatens-two-nato-states-over-russian-oil/;https://www.starsandstripesnews.us/lindsey-graham-threatens-two-nato-states-over-russian-oil/
exact_title,exact_title-00008,5,5,guardiansoftradition.com;infostreamnow.us;nevadainsight.com;truenorthconservative.com;unitedrightamerica.com,423958b4cbdf40b1993a0335b260a288921b428ede8e6b39d3e3018048aa402e,Lindsey Graham Hit With Embarrassing Epstein Fact-Check on Live TV,"Republicans are losing their grip on Donald Trump’s latest Epstein cover-up. Speaking with NBC’s Meet the Press on Sunday, Senator Lindsey Graham tripped up a supposedly “new” dev...",https://guardiansoftradition.com/lindsey-graham-hit-with-embarrassing-epstein-fact-check-on-live-tv/;https://www.infostreamnow.us/lindsey-graham-hit-with-embarrassing-epstein-fact-check-on-live-tv/;https://nevadainsight.com/lindsey-graham-hit-with-embarrassing-epstein-fact-check-on-live-tv/;https://truenorthconservative.com/lindsey-graham-hit-with-embarrassing-epstein-fact-check-on-live-tv/;https://unitedrightamerica.com/lindsey-graham-hit-with-embarrassing-epstein-fact-check-on-live-tv/
exact_title,exact_title-00009,5,5,guardiansoftradition.com;infostreamnow.us;nevadainsight.com;realitywire.us;unitedrightamerica.com,279c553513de4fcc7242a9498938a3dfdcaa2e379e6aa5b61ea8d8b3499ba39f,"Russia’s Su-35S Jets Disable US F-16s, French Mirages in Ukraine Operation — Rostec Chief",The Rostec chief reported that Russia’s Su-35S jets have successfully disabled U.S. F-16s and French Mirage planes during the ongoing conflict in Ukraine. The statement comes amid...,https://guardiansoftradition.com/russias-su-35s-jets-disable-us-f-16s-french-mirages-in-ukraine-operation-rostec-chief/;https://www.infostreamnow.us/russias-su-35s-jets-disable-us-f-16s-french-mirages-in-ukraine-operation-rostec-chief/;https://nevadainsight.com/russias-su-35s-jets-disable-us-f-16s-french-mirages-in-ukraine-operation-rostec-chief/;https://www.realitywire.us/russias-su-35s-jets-disable-us-f-16s-french-mirages-in-ukraine-operation-rostec-chief/;https://unitedrightamerica.com/russias-su-35s-jets-disable-us-f-16s-french-mirages-in-ukraine-operation-rostec-chief/
exact_title,exact_title-00010,5,5,centralbulletin.us;libertygazette.us;morningrecord.us;starherald.us;swiftupdate.us,c77109093adb91914c4e1afc32b2be64be410c16984cbc8a040ac7daf3d6424d,Ukrainian Far-Right Leader Calls for “Army of God” to Conquer Russia and China,"A radical Ukrainian nationalist has urged Kiev to create an “army that no one can oppose,” claiming it must become a force of divine power capable of subjugating both Russia and C...",https://www.centralbulletin.us/ukrainian-far-right-leader-calls-for-army-of-god-to-conquer-russia-and-china/;https://www.libertygazette.us/ukrainian-far-right-leader-calls-for-army-of-god-to-conquer-russia-and-china/;https://www.morningrecord.us/ukrainian-far-right-leader-calls-for-army-of-god-to-conquer-russia-and-china/;https://www.starherald.us/ukrainian-far-right-leader-calls-for-army-of-god-to-conquer-russia-and-china/;https://www.swiftupdate.us/ukrainian-far-right-leader-calls-for-army-of-god-to-conquer-russia-and-china/
